upstream_002
             x                       y                       z
   2.29317e-03            -1.19229e-02             1.54800e-01
   4.84169e-04            -1.50553e-02             1.54800e-01
  -1.39538e-03            -1.79875e-02             1.54800e-01
  -3.30899e-03            -2.06960e-02             1.54800e-01
  -5.21835e-03            -2.31604e-02             1.54800e-01
  -7.08043e-03            -2.53658e-02             1.54800e-01
  -8.92203e-03            -2.72624e-02             1.54800e-01
  -1.06182e-02            -2.88861e-02             1.54800e-01
  -1.22138e-02            -3.01848e-02             1.54800e-01
  -1.36659e-02            -3.11579e-02             1.54800e-01
  -1.48914e-02            -3.18313e-02             1.54800e-01
  -1.59085e-02            -3.21803e-02             1.54800e-01
  -1.72374e-02            -3.19142e-02             1.54800e-01
  -1.74958e-02            -3.13230e-02             1.54800e-01
  -1.76420e-02            -3.03457e-02             1.54800e-01
  -1.74493e-02            -2.91145e-02             1.54800e-01
  -1.70607e-02            -2.75669e-02             1.54800e-01
  -1.64676e-02            -2.57268e-02             1.54800e-01
  -1.56688e-02            -2.36184e-02             1.54800e-01
  -1.46833e-02            -2.12594e-02             1.54800e-01
  -1.35209e-02            -1.86761e-02             1.54800e-01
  -1.21896e-02            -1.58994e-02             1.54800e-01
  -1.06927e-02            -1.29659e-02             1.54800e-01
  -9.03648e-03            -9.91304e-03             1.54800e-01
  -7.22495e-03            -6.78200e-03             1.54800e-01
  -5.26921e-03            -3.61179e-03             1.54800e-01
  -3.20077e-03            -4.31693e-04             1.54800e-01
  -1.05833e-03             2.73210e-03             1.54800e-01
   1.11587e-03             5.85507e-03             1.54800e-01
   3.27857e-03             8.91350e-03             1.54800e-01
   5.38857e-03             1.18833e-02             1.54800e-01
   7.40445e-03             1.47419e-02             1.54800e-01
   9.28553e-03             1.74680e-02             1.54800e-01
   1.10001e-02             2.00376e-02             1.54800e-01
   1.25285e-02             2.24232e-02             1.54800e-01
   1.38357e-02             2.46085e-02             1.54800e-01
   1.49117e-02             2.65671e-02             1.54800e-01
   1.57975e-02             2.82491e-02             1.54800e-01
   1.63830e-02             2.96904e-02             1.54800e-01
   1.68078e-02             3.07962e-02             1.54800e-01
   1.70937e-02             3.15402e-02             1.54800e-01
   1.72406e-02             3.19125e-02             1.54800e-01

   1.48789e-02             3.20551e-02             1.73500e-01
   1.48040e-02             3.16630e-02             1.73500e-01
   1.46552e-02             3.08830e-02             1.73500e-01
   1.44340e-02             2.97237e-02             1.73500e-01
   1.41378e-02             2.82002e-02             1.73500e-01
   1.37491e-02             2.63387e-02             1.73500e-01
   1.32924e-02             2.41503e-02             1.73500e-01
   1.27731e-02             2.16588e-02             1.73500e-01
   1.21862e-02             1.88964e-02             1.73500e-01
   1.15336e-02             1.58955e-02             1.73500e-01
   1.08088e-02             1.26953e-02             1.73500e-01
   1.00013e-02             9.33940e-03             1.73500e-01
   9.10027e-03             5.87375e-03             1.73500e-01
   8.09606e-03             2.34535e-03             1.73500e-01
   6.98115e-03            -1.19853e-03             1.73500e-01
   5.75049e-03            -4.71106e-03             1.73500e-01
   4.40117e-03            -8.14614e-03             1.73500e-01
   2.93427e-03            -1.14598e-02             1.73500e-01
   1.35998e-03            -1.46129e-02             1.73500e-01
  -2.94745e-04            -1.75755e-02             1.73500e-01
  -1.99582e-03            -2.03226e-02             1.73500e-01
  -3.70715e-03            -2.28321e-02             1.73500e-01
  -5.38782e-03            -2.50868e-02             1.73500e-01
  -7.06679e-03            -2.70401e-02             1.73500e-01
  -8.62046e-03            -2.87193e-02             1.73500e-01
  -1.00955e-02            -3.00765e-02             1.73500e-01
  -1.14503e-02            -3.11087e-02             1.73500e-01
  -1.26023e-02            -3.18359e-02             1.73500e-01
  -1.35708e-02            -3.22354e-02             1.73500e-01
  -1.48789e-02            -3.20551e-02             1.73500e-01
  -1.51651e-02            -3.14954e-02             1.73500e-01
  -1.53650e-02            -3.05535e-02             1.73500e-01
  -1.52503e-02            -2.93448e-02             1.73500e-01
  -1.49638e-02            -2.78168e-02             1.73500e-01
  -1.44956e-02            -2.59922e-02             1.73500e-01
  -1.38434e-02            -2.38946e-02             1.73500e-01
  -1.30243e-02            -2.15422e-02             1.73500e-01
  -1.20463e-02            -1.89613e-02             1.73500e-01
  -1.09156e-02            -1.61823e-02             1.73500e-01
  -9.63307e-03            -1.32410e-02             1.73500e-01
  -8.20269e-03            -1.01743e-02             1.73500e-01
  -6.62586e-03            -7.02229e-03             1.73500e-01
  -4.91109e-03            -3.82370e-03             1.73500e-01
  -3.08731e-03            -6.08855e-04             1.73500e-01
  -1.19059e-03             2.59451e-03             1.73500e-01
   7.39424e-04             5.76005e-03             1.73500e-01
   2.66206e-03             8.86214e-03             1.73500e-01
   4.53868e-03             1.18750e-02             1.73500e-01
   6.33034e-03             1.47740e-02             1.73500e-01
   7.99873e-03             1.75363e-02             1.73500e-01
   9.51445e-03             2.01365e-02             1.73500e-01
   1.08600e-02             2.25468e-02             1.73500e-01
   1.20021e-02             2.47492e-02             1.73500e-01
   1.29329e-02             2.67176e-02             1.73500e-01
   1.36951e-02             2.84057e-02             1.73500e-01
   1.41793e-02             2.98419e-02             1.73500e-01
   1.45271e-02             3.09424e-02             1.73500e-01
   1.47612e-02             3.16828e-02             1.73500e-01
   1.48821e-02             3.20536e-02             1.73500e-01

   1.31826e-02             3.17734e-02             1.92200e-01
   1.31255e-02             3.13890e-02             1.92200e-01
   1.30121e-02             3.06245e-02             1.92200e-01
   1.28436e-02             2.94881e-02             1.92200e-01
   1.26167e-02             2.79945e-02             1.92200e-01
   1.23135e-02             2.61685e-02             1.92200e-01
   1.19573e-02             2.40218e-02             1.92200e-01
   1.15523e-02             2.15778e-02             1.92200e-01
   1.10925e-02             1.88676e-02             1.92200e-01
   1.05784e-02             1.59228e-02             1.92200e-01
   1.00021e-02             1.27813e-02             1.92200e-01
   9.35160e-03             9.48501e-03             1.92200e-01
   8.61455e-03             6.07825e-03             1.92200e-01
   7.77967e-03             2.60631e-03             1.92200e-01
   6.83775e-03            -8.85126e-04             1.92200e-01
   5.78200e-03            -4.35072e-03             1.92200e-01
   4.60774e-03            -7.74576e-03             1.92200e-01
   3.31423e-03            -1.10274e-02             1.92200e-01
   1.90984e-03            -1.41573e-02             1.92200e-01
   4.19565e-04            -1.71051e-02             1.92200e-01
  -1.12445e-03            -1.98452e-02             1.92200e-01
  -2.68799e-03            -2.23546e-02             1.92200e-01
  -4.23194e-03            -2.46149e-02             1.92200e-01
  -5.78636e-03            -2.65821e-02             1.92200e-01
  -7.22992e-03            -2.82776e-02             1.92200e-01
  -8.60993e-03            -2.96569e-02             1.92200e-01
  -9.88606e-03            -3.07152e-02             1.92200e-01
  -1.09773e-02            -3.14687e-02             1.92200e-01
  -1.19031e-02            -3.18962e-02             1.92200e-01
  -1.31826e-02            -3.17734e-02             1.92200e-01
  -1.34835e-02            -3.12405e-02             1.92200e-01
  -1.37157e-02            -3.03326e-02             1.92200e-01
  -1.36527e-02            -2.91524e-02             1.92200e-01
  -1.34354e-02            -2.76548e-02             1.92200e-01
  -1.30535e-02            -2.58615e-02             1.92200e-01
  -1.25034e-02            -2.37952e-02             1.92200e-01
  -1.18013e-02            -2.14745e-02             1.92200e-01
  -1.09539e-02            -1.89251e-02             1.92200e-01
  -9.96587e-03            -1.61769e-02             1.92200e-01
  -8.83669e-03            -1.32648e-02             1.92200e-01
  -7.56879e-03            -1.02247e-02             1.92200e-01
  -6.16188e-03            -7.09584e-03             1.92200e-01
  -4.62269e-03            -3.91612e-03             1.92200e-01
  -2.97813e-03            -7.16204e-04             1.92200e-01
  -1.26217e-03             2.47548e-03             1.92200e-01
   4.87684e-04             5.63171e-03             1.92200e-01
   2.23291e-03             8.72594e-03             1.92200e-01
   3.93698e-03             1.17315e-02             1.92200e-01
   5.56299e-03             1.46230e-02             1.92200e-01
   7.07461e-03             1.73765e-02             1.92200e-01
   8.44425e-03             1.99663e-02             1.92200e-01
   9.65600e-03             2.23645e-02             1.92200e-01
   1.06783e-02             2.45524e-02             1.92200e-01
   1.15045e-02             2.65041e-02             1.92200e-01
   1.21779e-02             2.81766e-02             1.92200e-01
   1.25911e-02             2.95929e-02             1.92200e-01
   1.28852e-02             3.06771e-02             1.92200e-01
   1.30831e-02             3.14066e-02             1.92200e-01
   1.31857e-02             3.17721e-02             1.92200e-01

